,BuildingID,County,Type,Year,RatingType,EnergyRatingCat,EnergyRatingCont,GroundFloorArea,AvgWallU,AvgRoofU,AvgFloorU,AvgWindowU,AvgDoorU,ExposedWallArea,ExposedRoofArea,TotFloorArea,TotWindowArea,TotDoorArea,NStoreys,MainSHFuel,MainWHFuel,MainSHEfficiency,SharedMPRN,BuildingReg,MainSHAdj,SecSHFrac,SecSHEfficiency,MainWHEfficiency,MainWHAdj,SecSHFuel,SecWHFuel,NChimneys,NOpenFlues,NFansVents,DLobby,VentMethod,WallStructure,SuspWoodFloor,PercDraughtStripped,NShelteredSides,PermTest,PermTestResult,TempAdj,ControlCat,ResponseCat,NCHPumps,BoilerStat1,BoilerStat2,OilPumpIn,NGasFans,WarmAir,Underfloor,DistLoss,StorageLoss,DeclaredLoss,SolarWaterHeating,SummerElectricImm,Combi,KeepHot,VolWaterStorage,TempFac,TempFacMult,HWInsulationType,HWInsulationThickness,PrimaryLoss,AreaAperture,ZeroLossCollEff,CollHeatLoss,SolarRadiation,Overshading,CylinderThermostat,DedicatedSolarVol,CombiCylinder,SolarPumpElect,SolarPumpPower,Charging,SolarHeatFrac,LightingEnergy,PumpsAndFansEnergy,MainWaterEnergy,MainSpaceEnergy,PrimaryLightingEnergy,PrimaryPumpsFansEnergy,PrimaryMainWaterEnergy,PrimaryMainSpaceEnergy,LightingCO2,PumpsAndFansCO2,MainWaterCO2,MainSpaceCO2,AreaGroundFloor,HeightGroundFloor,AreaFirstFloor,HeightFirstFloor,AreaSecondFloor,BridgingFac,MassCat,LargestRoofTypeArea,LargestRoofType,PercLowEnergy,TotEnergy,SecSpaceEnergy,SecWaterEnergy,PercLivingArea,SecSpaceCO2,SecWaterCO2,SecSpacePrimaryEnergy,SecWaterPrimaryEnergy,UpgradeHES,RoofAreaRoom,RatingPurpose,AssessmentDate,FirstEnerType,FirstEnerTypeDescr,ProdFirstEnerComment,ProdFirstEnerDelivered,ProdFirstEnerConvFac,ConsFirstEnerComment,SecondEnerTypeDescr,ProdSecondEnerComment,ProdSecondEnerDelivered,ProdSecondEnerConvFac,ConsSecondEnerComment,ThirdEnerTypeDescr,ProdThirdEnerComment,ProdThirdEnerDelivered,ProdThirdEnerConvFac,ConsThirdEnerComment,FuelTypeFirstBoiler,EffFirstHeatGenPlant,PercFirstHeat,FuelTypeSecondBoiler,EffSecondHeatGenPlant,PercSecondHeat,FuelTypeThirdBoiler,EffThirdHeatGenPlant,PercThirdHeat,HeatingSystemSolarSpace,TotPrimaryEnergyFac,TotCO2Emissions,PrimaryEnergySecondarySpace,EnergyMainWater
0,190835,Co. Wexford,Mid-terrace house,Y1890.0,Existing       ,F ,418.42,52.04 sq. m,2.1,2.3,0.61,2.71,3.0,32.78,73.08,33.69,7.08,2.05,2.0,Heating Oil                   ,Heating Oil                   ,85.7,NO,0.0,0.95,0.1,65.0,85.7,0.95,1.0,28.0,0.0,1.0,1.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,3.0,NO,0.0,0.0,1.0,1.0,1.0,NO ,NO ,NO ,0.0,NO ,NO ,224.033,YES,NO ,NO ,YES,None                          ,None                          ,110.0,0.6,0.9,Loose Jacket                  ,20.0,Boiler with insulated primary ,,,,,,NO ,,NO ,,NO ,NO ,,274.752,230.0,2595.201,13700.589,741.83,621.0,2854.7209999999995,15070.648000000001,176.666,147.89,705.895,3726.56,33.69,2.25,0.0,0.0,0.0,0.15,Medium              ,56.82,Pre 1900 house Renovated      ,83.0,19628.788,1906.3729999999998,921.873,33.4935%,0.0,592.764,0.0,2489.0570000000002,0.0,18.35,Unknown,Jun 17 2011 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,0.0,2335.6809
1,523113,Co. Clare,Detached house,Y1901.0,Existing       ,G ,520.35,147.44 sq. m,2.01,0.75,0.94,2.63,3.96,211.22,93.4,96.77,37.0,5.95,2.0,Heating Oil                   ,Heating Oil                   ,65.0,NO,0.0,0.95,0.1,55.0,65.0,0.95,15.0,28.0,1.0,0.0,0.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,0.0,NO,0.0,0.6,1.0,1.0,1.0,NO ,NO ,YES,0.0,NO ,NO ,428.635,YES,NO ,NO ,YES,None                          ,None                          ,95.0,0.6,1.3,Factory Insulated             ,35.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,1210.888,230.0,4966.751,"""52025.518""",3269.3979999999997,621.0,5463.4259999999995,57228.07,778.6010000000001,147.89,1350.9560000000001,14150.941,96.77,2.85,50.67,2.55,0.0,0.15,Medium-high         ,75.96,100mm fibreglass between joist,18.0,66036.461,6495.307,1107.997,11.0079%,2396.768,712.442,7144.838000000001,2991.592,0.0,0.0,Sale,Apr 14 2015 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,7144.838000000001,4470.0759
2,271393,Co. Kerry,Detached house,Y1968.0,Existing       ,D2,281.33,104.84 sq. m,0.38,0.13,0.68,2.81,0.0,94.41,104.84,104.84,17.9,0.0,1.0,Heating Oil                   ,Heating Oil                   ,70.0,NO,0.0,0.95,0.1,60.0,70.0,0.95,15.0,1.0,0.0,1.0,1.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,1.0,NO,0.0,0.6,1.0,1.0,1.0,NO ,NO ,YES,0.0,NO ,NO ,343.98699999999997,YES,NO ,NO ,NO ,None                          ,None                          ,110.0,0.6,1.3,Loose Jacket                  ,50.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,865.7560000000001,230.0,6486.081,15704.271999999999,2337.541,621.0,7134.689,17274.699,556.681,147.89,1764.214,4271.562,104.84,2.43,0.0,0.0,0.0,0.15,High                ,61.76,new                           ,17.0,25220.061,1933.9520000000002,0.0,18.0465%,713.628,0.0,2127.347,0.0,0.0,0.0,Grant Support,Jun 28 2012 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,2127.347,5837.4729
3,585961,Co. Cork,Semi-detached house,Y2002.0,Existing       ,C2,188.17,95.31 sq. m,0.55,0.26,0.34,2.8,3.03,89.5,42.9,52.41,13.92,2.6,2.0,Mains Gas                     ,Mains Gas                     ,78.0,NO,0.0,1.0,0.1,30.0,78.0,1.0,8.0,28.0,1.0,0.0,5.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,2.0,NO,0.0,0.0,3.0,1.0,1.0,YES,NO ,NO ,1.0,NO ,NO ,323.551,YES,NO ,NO ,NO ,None                          ,None                          ,95.0,0.6,0.9,Loose Jacket                  ,80.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,477.39599999999996,175.0,4188.472,7995.825,1288.969,472.5,4607.319,,306.966,112.525,850.26,1623.152,52.41,2.44,42.9,2.65,0.0,0.15,Medium              ,42.9,,89.0,15146.598,2309.905,0.0,18.1513%,905.4830000000001,0.0,2771.886,0.0,1.0,0.0,Grant Support,Nov 25 2015 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,2771.886,3769.6248
4,624083,Co. Laois,Detached house,Y2002.0,Existing       ,B3,134.95,283.87 sq. m,0.55,0.26,0.41,3.1,3.01,254.15,173.21,173.21,42.86,5.49,2.0,Mains Gas                     ,Mains Gas                     ,,NO,0.0,1.0,0.0,0.0,92.4,1.0,1.0,1.0,0.0,0.0,3.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,4.0,NO,0.0,0.0,2.0,1.0,1.0,YES,NO ,NO ,1.0,NO ,NO ,626.674,YES,NO ,NO ,NO ,None                          ,None                          ,144.0,0.6,0.9,Factory Insulated             ,25.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,1678.0620000000001,175.0,5885.092,24401.932,4530.767,472.5,6473.601,26842.125,1078.994,112.525,1194.674,4953.592000000001,173.21,2.5,110.66,2.72,0.0,0.15,Medium-high         ,171.95,Cold roof with insulation     ,69.0,32140.086,0.0,0.0,12.1887%,0.0,0.0,0.0,0.0,0.0,0.0,Sale,May 30 2016 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,0.0,5296.5828
5,30231,Cork City,Ground-floor apartment,Y2007.0,Final          ,B2,108.77,94.4 sq. m,0.34,0.0,0.24,1.82,3.0,41.31,0.0,94.4,14.15,2.1,1.0,Mains Gas                     ,Mains Gas                     ,90.7,NO,1.0,1.0,0.0,0.0,90.7,1.0,1.0,1.0,0.0,0.0,3.0,YES,Natural vent.,Masonry                       ,No                            ,100.0,3.0,NO,0.0,0.0,2.0,1.0,1.0,YES,NO ,NO ,1.0,NO ,NO ,321.558,NO ,YES,NO ,NO ,"Instantaneous, without keep-ho",None                          ,0.0,0.0,0.0,Factory Insulated             ,0.0,Combi boiler                  ,,,,,,NO ,,NO ,,NO ,NO ,,851.96,175.0,2363.526,4449.424,2300.292,472.5,2599.879,4894.366,547.81,112.525,479.796,903.2330000000001,94.4,2.6,0.0,0.0,0.0,0.11,Medium-high         ,,,0.0,7839.91,0.0,0.0,37.2881%,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,May 13 2009 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,0.0,2127.1734
6,350444,Co. Carlow,Mid-floor apartment,Y2003.0,Existing       ,C1,156.65,76.15 sq. m,0.55,0.0,0.0,2.7,3.0,56.25,0.0,0.0,11.65,1.85,1.0,Mains Gas                     ,Mains Gas                     ,80.3,NO,0.0,0.95,0.0,0.0,80.3,0.95,1.0,1.0,0.0,0.0,5.0,NO,Natural vent.,Masonry                       ,No                            ,100.0,3.0,NO,0.0,0.6,1.0,1.0,1.0,YES,NO ,NO ,1.0,NO ,NO ,280.853,,,,,,,,,,,,,,,,,,NO ,,NO ,,NO ,NO ,,687.2539999999999,175.0,4053.687,4673.279,1855.586,472.5,4459.056,5140.607,441.904,112.525,822.898,948.676,76.15,2.5,0.0,0.0,0.0,0.15,High                ,,,0.0,9589.22,0.0,0.0,30.8601%,0.0,0.0,0.0,0.0,0.0,0.0,Private Letting,Jun 29 2013 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,0.0,3648.3183
7,592196,Co. Offaly,End of terrace house,Y2000.0,Existing       ,E2,369.22,91.41 sq. m,0.55,0.15,0.44,3.4,3.11,102.29,49.66,49.72,7.2,6.08,2.0,Solid Multi-Fuel              ,Solid Multi-Fuel              ,45.0,NO,0.0,1.0,0.1,60.0,45.0,1.0,15.0,28.0,0.0,2.0,3.0,YES,Natural vent.,Masonry                       ,No                            ,100.0,1.0,NO,0.0,0.6,1.0,3.0,1.0,NO ,NO ,NO ,0.0,NO ,NO ,315.078,YES,NO ,NO ,YES,None                          ,None                          ,95.0,0.6,1.3,Factory Insulated             ,30.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,453.736,130.0,5688.331,19807.038,1225.087,351.0,6257.164000000001,21787.742000000002,291.752,83.59,2098.994,7308.797,49.72,2.47,41.69,2.74,0.0,0.15,Medium              ,41.3,2 rolls 300mm fibreglass - att,90.0,28587.863999999998,1650.5870000000002,858.172,14.1888%,609.067,551.805,1815.646,2317.064,0.0,0.0,Private Letting,Jan 21 2016 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,1815.646,5119.4979
8,365924,Co. Donegal,Detached house,Y1989.0,Existing       ,D2,287.42,125.61 sq. m,0.31,0.13,0.57,4.8,3.0,93.97,125.61,125.61,19.6,3.7,1.0,Heating Oil                   ,Heating Oil                   ,70.0,NO,0.0,0.95,0.1,30.0,70.0,0.95,15.0,28.0,1.0,1.0,7.0,NO,Natural vent.,Masonry                       ,No                            ,80.0,2.0,NO,0.0,0.6,1.0,1.0,1.0,NO ,NO ,NO ,0.0,NO ,NO ,386.601,YES,NO ,NO ,NO ,None                          ,None                          ,100.0,0.6,1.3,Loose Jacket                  ,80.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,719.855,230.0,6462.168000000001,"""19272.466""",1943.609,621.0,7108.385,21199.713,462.86699999999996,147.89,1757.71,5242.111,125.61,2.58,0.0,0.0,0.0,0.15,Medium              ,125.61,Fibre wool                    ,73.0,31431.226000000002,4746.737,0.0,15.0864%,1751.546,0.0,5221.411,0.0,0.0,0.0,Grant Support,Sep 10 2013 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,5221.411,5815.9512
9,303002,Co. Meath,Semi-detached house,Y2002.0,Existing       ,C3,219.05,124.66 sq. m,0.55,0.4,0.44,2.96,3.0,100.99,62.2,64.38,16.71,4.27,2.0,Mains Gas                     ,Mains Gas                     ,79.1,NO,0.0,0.95,0.1,20.0,79.1,0.95,2.0,28.0,1.0,0.0,9.0,NO,Natural vent.,Insulated Conctete Form       ,No                            ,100.0,3.0,NO,0.0,0.0,2.0,1.0,1.0,NO ,NO ,NO ,1.0,NO ,NO ,384.691,YES,NO ,NO ,YES,None                          ,None                          ,120.0,0.6,1.3,Loose Jacket                  ,40.0,Boiler with uninsulated primar,,,,,,NO ,,NO ,,NO ,NO ,,939.422,175.0,4176.838,10660.1,2536.439,472.5,4594.522,11726.11,604.048,112.525,847.898,2164.0,64.38,2.42,60.28,2.69,0.0,0.15,Medium-low          ,58.1,Roof 1                        ,33.0,21542.311,4447.630999999999,1143.32,17.8485%,902.8689999999999,735.155,4892.394,3086.9640000000004,0.0,0.0,Sale,Dec 12 2012 12:00AM,1.0,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,Renewable Thermal,,0.0,0.0,,,,,,,,,,,,,,4892.394,3759.1542
