BuildingID,Year,EnergyRatingCat,EnergyRatingCont,GroundFloorArea,AvgWallU,AvgRoofU,AvgFloorU,AvgWindowU,AvgDoorU,ExposedWallArea,ExposedRoofArea,TotFloorArea,TotWindowArea,TotDoorArea,NStoreys,MainSHFuel,MainWHFuel,MainSHEfficiency,BuildingReg,MainSHAdj,SecSHFrac,SecSHEfficiency,MainWHEfficiency,MainWHAdj,SecSHFuel,SecWHFuel,NChimneys,NOpenFlues,NFansVents,PercDraughtStripped,NShelteredSides,PermTestResult,TempAdj,ControlCat,ResponseCat,NCHPumps,NGasFans,DistLoss,VolWaterStorage,TempFac,TempFacMult,HWInsulationThickness,LightingEnergy,PumpsAndFansEnergy,MainWaterEnergy,PrimaryLightingEnergy,PrimaryPumpsFansEnergy,PrimaryMainWaterEnergy,PrimaryMainSpaceEnergy,LightingCO2,PumpsAndFansCO2,MainWaterCO2,MainSpaceCO2,AreaGroundFloor,HeightGroundFloor,AreaFirstFloor,HeightFirstFloor,AreaSecondFloor,BridgingFac,LargestRoofTypeArea,PercLowEnergy,TotEnergy,SecSpaceEnergy,SecWaterEnergy,SecSpaceCO2,SecWaterCO2,SecSpacePrimaryEnergy,SecWaterPrimaryEnergy,UpgradeHES,RoofAreaRoom,FirstEnerType,ProdFirstEnerDelivered,ProdFirstEnerConvFac,ProdSecondEnerDelivered,ProdSecondEnerConvFac,ProdThirdEnerDelivered,ProdThirdEnerConvFac,PrimaryEnergySecondarySpace,EnergyMainWater,MainSHFuel_cat,MainWHFuel_cat
190835,1890,F ,418.42,52.04,2.1,2.3,0.61,2.71,3.0,32.78,73.08,33.69,7.08,2.05,2.0,Heating Oil,Heating Oil,85.7,0.0,0.95,0.1,65.0,85.7,0.95,1.0,28.0,0.0,1.0,1.0,100.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,224.033,110.0,0.6,0.9,20.0,274.752,230.0,2595.201,741.83,621.0,2854.7209999999995,15070.648000000001,176.666,147.89,705.895,3726.56,33.69,2.25,33.80961792358471,1.683574714942973,1.7228485697139417,0.15,56.82,83.0,19628.788,1906.3729999999998,921.873,0.0,592.764,0.0,2489.0570000000002,0.0,18.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.6809,3,4
523113,1901,G ,520.35,147.44,2.01,0.75,0.94,2.63,3.96,211.22,93.4,96.77,37.0,5.95,2.0,Heating Oil,Heating Oil,65.0,0.0,0.95,0.1,55.0,65.0,0.95,15.0,28.0,1.0,0.0,0.0,100.0,0.0,0.0,0.6,1.0,1.0,1.0,0.0,428.635,95.0,0.6,1.3,35.0,1210.888,230.0,4966.751,3269.3979999999997,621.0,5463.4259999999995,57228.07,778.6010000000001,147.89,1350.9560000000001,14150.941,96.77,2.85,50.67,2.55,1.7228485697139417,0.15,75.96,18.0,66036.461,6495.307,1107.997,2396.768,712.442,7144.838000000001,2991.592,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7144.838000000001,4470.0759,3,4
271393,1968,D2,281.33,104.84,0.38,0.13,0.68,2.81,2.4825145029005777,94.41,104.84,104.84,17.9,2.8088257651531006,1.0,Heating Oil,Heating Oil,70.0,0.0,0.95,0.1,60.0,70.0,0.95,15.0,1.0,0.0,1.0,1.0,100.0,1.0,0.0,0.6,1.0,1.0,1.0,0.0,343.98699999999997,110.0,0.6,1.3,50.0,865.7560000000001,230.0,6486.081,2337.541,621.0,7134.689,17274.699,556.681,147.89,1764.214,4271.562,104.84,2.43,33.80961792358471,1.683574714942973,1.7228485697139417,0.15,61.76,17.0,25220.061,1933.9520000000002,0.0,713.628,0.0,2127.347,0.0,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.347,5837.4729,3,4
585961,2002,C2,188.17,95.31,0.55,0.26,0.34,2.8,3.03,89.5,42.9,52.41,13.92,2.6,2.0,Mains Gas,Mains Gas,78.0,0.0,1.0,0.1,30.0,78.0,1.0,8.0,28.0,1.0,0.0,5.0,100.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,323.551,95.0,0.6,0.9,80.0,477.39599999999996,175.0,4188.472,1288.969,472.5,4607.319,-3410476.77601325,306.966,112.525,850.26,1623.152,52.41,2.44,42.9,2.65,1.7228485697139417,0.15,42.9,89.0,15146.598,2309.905,0.0,905.4830000000001,0.0,2771.886,0.0,1.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2771.886,3769.6248,5,6
624083,2002,B3,134.95,283.87,0.55,0.26,0.41,3.1,3.01,254.15,173.21,173.21,42.86,5.49,2.0,Mains Gas,Mains Gas,85.59177863812343,0.0,1.0,0.0,0.0,92.4,1.0,1.0,1.0,0.0,0.0,3.0,100.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,626.674,144.0,0.6,0.9,25.0,1678.0620000000001,175.0,5885.092,4530.767,472.5,6473.601,26842.125,1078.994,112.525,1194.674,4953.592000000001,173.21,2.5,110.66,2.72,1.7228485697139417,0.15,171.95,69.0,32140.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5296.5828,5,6
30231,2007,B2,108.77,94.4,0.34,0.36725945189039244,0.24,1.82,3.0,41.31,69.3419703940788,94.4,14.15,2.1,1.0,Mains Gas,Mains Gas,90.7,1.0,1.0,0.0,0.0,90.7,1.0,1.0,1.0,0.0,0.0,3.0,100.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,321.558,126.55955006616686,0.0,0.0,36.02690780767571,851.96,175.0,2363.526,2300.292,472.5,2599.879,4894.366,547.81,112.525,479.796,903.2330000000001,94.4,2.6,33.80961792358471,1.683574714942973,1.7228485697139417,0.11,62.99894667559103,0.0,7839.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.1734,5,6
350444,2003,C1,156.65,76.15,0.55,0.36725945189039244,0.4497739547909615,2.7,3.0,56.25,69.3419703940788,65.73496099219847,11.65,1.85,1.0,Mains Gas,Mains Gas,80.3,0.0,0.95,0.0,0.0,80.3,0.95,1.0,1.0,0.0,0.0,5.0,100.0,3.0,0.0,0.6,1.0,1.0,1.0,1.0,280.853,126.55955006616674,0.5962461402734408,1.1023797970887066,36.02690780767534,687.2539999999999,175.0,4053.687,1855.586,472.5,4459.056,5140.607,441.904,112.525,822.898,948.676,76.15,2.5,33.80961792358471,1.683574714942973,1.7228485697139417,0.15,62.99894667559103,0.0,9589.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3648.3183,5,6
592196,2000,E2,369.22,91.41,0.55,0.15,0.44,3.4,3.11,102.29,49.66,49.72,7.2,6.08,2.0,Solid Multi-Fuel,Solid Multi-Fuel,45.0,0.0,1.0,0.1,60.0,45.0,1.0,15.0,28.0,0.0,2.0,3.0,100.0,1.0,0.0,0.6,1.0,3.0,1.0,0.0,315.078,95.0,0.6,1.3,30.0,453.736,130.0,5688.331,1225.087,351.0,6257.164000000001,21787.742000000002,291.752,83.59,2098.994,7308.797,49.72,2.47,41.69,2.74,1.7228485697139417,0.15,41.3,90.0,28587.863999999998,1650.5870000000002,858.172,609.067,551.805,1815.646,2317.064,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.646,5119.4979,9,10
365924,1989,D2,287.42,125.61,0.31,0.13,0.57,4.8,3.0,93.97,125.61,125.61,19.6,3.7,1.0,Heating Oil,Heating Oil,70.0,0.0,0.95,0.1,30.0,70.0,0.95,15.0,28.0,1.0,1.0,7.0,80.0,2.0,0.0,0.6,1.0,1.0,1.0,0.0,386.601,100.0,0.6,1.3,80.0,719.855,230.0,6462.168000000001,1943.609,621.0,7108.385,21199.713,462.86699999999996,147.89,1757.71,5242.111,125.61,2.58,33.80961792358471,1.683574714942973,1.7228485697139417,0.15,125.61,73.0,31431.226000000002,4746.737,0.0,1751.546,0.0,5221.411,0.0,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5221.411,5815.9512,3,4
303002,2002,C3,219.05,124.66,0.55,0.4,0.44,2.96,3.0,100.99,62.2,64.38,16.71,4.27,2.0,Mains Gas,Mains Gas,79.1,0.0,0.95,0.1,20.0,79.1,0.95,2.0,28.0,1.0,0.0,9.0,100.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,384.691,120.0,0.6,1.3,40.0,939.422,175.0,4176.838,2536.439,472.5,4594.522,11726.11,604.048,112.525,847.898,2164.0,64.38,2.42,60.28,2.69,1.7228485697139417,0.15,58.1,33.0,21542.311,4447.630999999999,1143.32,902.8689999999999,735.155,4892.394,3086.9640000000004,0.0,2.9822824564912986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4892.394,3759.1542,5,6
